,battery_power,blue,clock_speed,resolution,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,ram,talk_time,three_g,touch_screen,wifi,price_range
46,0.1723,1,0.11000000000000001,7.2356399978293085e-12,1,0.01,0,0.42,1.0,0.164,0.8,0.14,0.3587,0.03,1,0,0,3
47,0.1054,1,0.18,1.0884374998412696e-13,1,0.03,1,0.4,0.8,0.196,0.7,0.1,0.2296,0.12,1,0,1,1
48,0.0578,1,0.26,3.2640555542499335e-11,1,0.02,1,0.57,0.2,0.162,0.8,0.08,0.127,0.05,1,0,1,0
49,0.0596,0,0.21000000000000002,7.888413460438635e-12,1,0.09,0,0.64,0.8,0.111,0.8,0.15,0.3238,0.1,0,0,0,3
50,0.1547,1,0.3,0.38178879992364223,1,0.02,1,0.14,0.7,0.198,0.3,0.19,0.2059,0.15,1,0,1,2
51,0.176,0,0.13999999999999999,8.382921051491797e-12,1,0.05,0,0.63,0.8,0.127,0.8,0.19,0.2053,0.16,0,1,0,2
52,0.1654,1,0.15,5.7238999983782275e-12,1,0.0,1,0.43,0.3,0.109,0.2,0.0,0.3112,0.1,1,1,0,3
53,0.1457,0,0.19,9.586257351178996e-12,1,0.01,1,0.16,0.3,0.102,0.3,0.1,0.144,0.12,1,0,1,1
54,0.1073,1,0.05,0.09245999998459,1,0.0,0,0.51,0.5,0.145,0.7,0.0,0.2908,0.18,0,1,0,2
55,0.1936,0,0.21000000000000002,7.051142855631898e-12,1,0.1,1,0.46,0.6,0.104,0.3,0.2,0.2552,0.13,1,0,0,2
56,0.0823,1,0.27,7.734272726017163e-12,1,0.13,0,0.6,0.5,0.148,0.8,0.19,0.0905,0.17,1,1,1,0
57,0.0987,0,0.13,1.3233888884109983e-11,1,0.0,1,0.61,0.4,0.107,0.3,0.09,0.3963,0.2,1,0,1,3
58,0.1757,0,0.05,5.398428569577681e-12,0,0.08,0,0.49,0.5,0.18,0.6,0.14,0.2056,0.04,0,0,0,1
59,0.1063,0,0.13999999999999999,4.448256409617686e-13,1,0.02,1,0.48,1.0,0.128,0.5,0.04,0.291,0.09,1,1,1,2
60,0.1484,0,0.3,1.5850071423476764e-11,0,0.03,0,0.12,0.6,0.134,0.3,0.05,0.1457,0.2,1,1,0,1
61,0.0799,1,0.22999999999999998,3.910833332420806e-12,0,0.01,1,0.63,0.8,0.144,0.8,0.06,0.0431,0.06,1,1,1,0
62,0.1156,1,0.12,0.025161999996405424,1,0.0,1,0.5,0.8,0.159,0.2,0.0,0.047,0.15,1,1,0,0
63,0.172,0,0.2,3.6386035693493694e-11,0,0.15,1,0.55,0.5,0.168,0.2,0.18,0.2148,0.05,1,1,1,2
64,0.0702,0,0.26,1.97819999930763e-11,1,0.02,1,0.09,0.7,0.141,0.3,0.03,0.2955,0.19,1,0,0,2
65,0.0616,0,0.19,7.314708332012622e-12,1,0.13,1,0.44,0.8,0.081,0.3,0.17,0.3366,0.13,1,1,0,3
66,0.1358,1,0.05,8.077138885972144e-11,0,0.11,1,0.36,0.3,0.155,0.4,0.14,0.3068,0.04,1,1,0,3
67,0.1866,0,0.13999999999999999,1.092886363468705e-12,0,0.0,0,0.3,0.5,0.182,0.3,0.0,0.3834,0.08,0,0,0,3
68,0.1242,0,0.11000000000000001,5.111590903514628e-11,1,0.0,0,0.1,0.6,0.165,0.2,0.01,0.105,0.04,1,0,1,0
69,0.1166,0,0.15,1.765928569410367e-11,1,0.0,1,0.43,0.8,0.08,0.4,0.01,0.3993,0.07,1,1,0,3
70,0.1448,1,0.05,6.871888110734788e-12,1,0.06,1,0.45,0.8,0.138,0.7,0.11,0.3378,0.02,1,1,1,3
71,0.1407,1,0.24,2.2640063486313634e-11,0,0.01,1,0.22,0.7,0.104,0.4,0.04,0.2192,0.13,1,0,1,2
72,0.0605,0,0.1,1.8239999995743997e-12,0,0.08,1,0.09,0.1,0.142,0.3,0.16,0.0392,0.04,1,0,0,0
73,0.1038,0,0.12,0.00023199999997890907,0,0.03,0,0.43,0.7,0.141,0.1,0.05,0.3709,0.12,1,1,1,3
74,0.0797,1,0.29,5.989549996339719e-11,1,0.04,0,0.38,0.5,0.09,0.4,0.06,0.059,0.06,0,1,0,0
75,0.0819,0,0.06,2.1051899990526642e-11,1,0.08,1,0.42,0.9,0.188,0.6,0.2,0.1814,0.13,1,0,1,1
76,0.1114,0,0.27999999999999997,1.591199999613566e-11,0,0.04,1,0.09,0.4,0.197,0.3,0.15,0.0907,0.17,1,1,0,0
77,0.1234,1,0.16,1.6772467528546697e-12,1,0.01,0,0.33,0.6,0.172,0.1,0.03,0.1449,0.06,0,0,1,0
78,0.1199,1,0.25,8.202425338253063e-12,1,0.15,1,0.16,0.2,0.116,0.4,0.2,0.3448,0.1,1,0,1,3
79,0.1103,0,0.1,2.627035713582044e-11,1,0.06,0,0.29,0.7,0.111,0.6,0.08,0.1837,0.16,0,1,1,1
80,0.1589,1,0.06,2.024810526006739e-12,1,0.0,1,0.58,0.9,0.085,0.7,0.07,0.3464,0.06,1,1,1,3
81,0.0999,0,0.29,1.4659428569048796e-11,1,0.11,1,0.64,0.2,0.199,0.4,0.19,0.2593,0.16,1,1,0,2
82,0.151,1,0.09,2.2970666660285927e-11,1,0.02,0,0.45,0.9,0.18,0.5,0.03,0.3484,0.11,0,1,1,3
83,0.1008,0,0.08,4.027979998254542e-11,0,0.11,0,0.61,1.0,0.114,0.3,0.15,0.2009,0.11,1,0,0,1
84,0.1127,1,0.29,1.7699490903941966e-11,1,0.05,1,0.57,0.8,0.163,0.1,0.13,0.2048,0.17,1,1,1,1
85,0.1412,1,0.24,7.239288887601903e-12,0,0.05,0,0.25,0.8,0.096,0.8,0.17,0.0837,0.04,0,0,1,1
86,0.1496,1,0.2,0.004445999999722125,1,0.04,0,0.42,0.5,0.182,0.5,0.05,0.0854,0.07,0,1,1,0
87,0.1083,1,0.29,2.938333332127863e-11,1,0.01,1,0.64,0.8,0.178,0.3,0.11,0.321,0.04,1,0,0,3
88,0.0668,0,0.05,1.7804399994460856e-11,1,0.0,0,0.03,0.1,0.155,0.5,0.13,0.2746,0.08,1,1,1,2
89,0.1309,0,0.11000000000000001,7.809139991409946e-11,1,0.0,0,0.33,0.5,0.1,0.4,0.14,0.2334,0.11,1,0,1,2
90,0.1724,0,0.2,5.417578945277425e-11,1,0.02,1,0.57,0.5,0.177,0.3,0.05,0.2822,0.16,1,1,0,3
91,0.1977,1,0.2,1.2084857140459353e-11,1,0.07,1,0.54,1.0,0.171,0.7,0.18,0.1971,0.14,1,1,0,2
92,0.0885,0,0.22999999999999998,3.854612499373626e-12,1,0.0,1,0.15,0.4,0.103,0.7,0.0,0.141,0.05,1,1,1,0
93,0.0879,1,0.25,2.783218749547727e-12,0,0.11,1,0.14,0.7,0.083,0.6,0.15,0.0349,0.02,1,0,1,0
94,0.1322,0,0.16999999999999998,1.0904953559156104e-12,1,0.06,0,0.07,0.8,0.14,0.3,0.09,0.1418,0.12,0,1,0,1
95,0.1137,1,0.1,1.7086430764499144e-11,0,0.18,0,0.07,1.0,0.196,0.3,0.19,0.3616,0.12,1,1,1,3
96,0.1355,0,0.22999999999999998,7.632118418742911e-12,0,0.1,1,0.23,0.2,0.132,0.5,0.16,0.088,0.08,1,1,0,0
97,0.1665,1,0.05,8.651137253912454e-12,0,0.03,1,0.6,0.2,0.194,0.6,0.18,0.1601,0.14,1,0,0,2
98,0.0657,0,0.25,1.0891333328924937e-11,0,0.0,0,0.37,0.7,0.141,0.2,0.01,0.1412,0.18,0,1,0,0
99,0.0593,0,0.05,1.3532174990978548e-10,0,0.06,0,0.31,0.4,0.156,0.7,0.07,0.1692,0.07,1,0,0,1
100,0.1883,1,0.05,1.1357843747870405e-11,0,0.03,1,0.1,0.3,0.146,0.6,0.13,0.26,0.2,1,0,0,3
101,0.1732,1,0.11000000000000001,6.481642855811805e-12,0,0.04,1,0.12,0.8,0.119,0.8,0.09,0.1308,0.11,1,0,1,1
102,0.0543,0,0.05,1.6165714283608668e-12,0,0.0,0,0.57,0.7,0.192,0.5,0.04,0.2413,0.15,1,0,0,1
103,0.1939,1,0.27999999999999997,1.1885714283676735e-12,1,0.0,1,0.55,0.6,0.199,0.4,0.1,0.1047,0.18,1,1,0,0
104,0.0553,0,0.24,6.662499997728694e-12,1,0.01,1,0.08,0.5,0.121,0.7,0.03,0.1204,0.08,1,1,1,0
105,0.0832,0,0.06999999999999999,1.879999998684e-11,1,0.02,1,0.39,0.7,0.103,0.4,0.03,0.1799,0.11,1,0,1,1
106,0.1661,0,0.19,1.9199499995200124e-11,1,0.05,0,0.23,1.0,0.172,0.5,0.1,0.2676,0.11,0,1,1,3
107,0.1657,1,0.24,1.766066664802485e-10,0,0.03,0,0.42,0.1,0.198,0.5,0.16,0.2597,0.14,1,0,0,3
108,0.1135,1,0.2,1.6745448914542303e-12,1,0.0,0,0.46,0.3,0.083,0.1,0.04,0.3029,0.09,1,1,1,3
109,0.1775,1,0.15,1.2356587042933561e-11,0,0.03,0,0.41,0.1,0.163,0.1,0.07,0.2343,0.14,1,1,1,3
110,0.0783,0,0.18,2.7535281241395222e-11,1,0.0,1,0.43,1.0,0.106,0.3,0.04,0.2016,0.18,1,1,0,1
111,0.0617,1,0.22999999999999998,2.8685128201328033e-12,0,0.0,0,0.32,0.5,0.199,0.7,0.2,0.2213,0.07,0,0,0,1
112,0.0867,0,0.13999999999999999,1.7715384611069328e-12,1,0.0,1,0.04,0.7,0.135,0.6,0.01,0.079,0.03,1,1,0,0
113,0.131,1,0.11000000000000001,1.8756562492966287e-12,1,0.13,0,0.07,1.0,0.194,0.5,0.14,0.3182,0.05,1,1,0,2
114,0.1804,0,0.05,1.600613331554874e-10,0,0.09,1,0.22,0.6,0.153,0.7,0.19,0.3472,0.2,1,0,1,3
115,0.19,1,0.22999999999999998,1.4602958317513462e-10,0,0.01,1,0.18,0.2,0.089,0.7,0.09,0.2871,0.13,1,1,1,3
116,0.0909,1,0.13999999999999999,5.720879628517237e-12,0,0.0,0,0.53,0.3,0.082,0.8,0.0,0.3187,0.04,1,0,0,2
117,0.1084,1,0.26,4.137699998689728e-12,0,0.03,1,0.4,0.9,0.107,0.3,0.11,0.1945,0.1,1,1,0,1
118,0.1308,0,0.13,1.8131666656996446e-11,1,0.08,0,0.46,0.9,0.199,0.1,0.12,0.0488,0.09,0,1,0,0
119,0.1778,0,0.05,0.5647059998870588,0,0.0,0,0.15,0.5,0.102,0.3,0.0,0.1214,0.14,1,0,0,1
120,0.1701,1,0.16,6.813888887563967e-12,1,0.03,0,0.1,0.3,0.194,0.8,0.07,0.2598,0.06,0,1,0,2
121,0.0772,1,0.24,1.0738909089336219e-11,1,0.01,1,0.1,0.5,0.08,0.4,0.02,0.3242,0.04,1,1,0,3
122,0.0825,1,0.05,1.2880274995491903e-11,1,0.07,0,0.52,0.9,0.13,0.3,0.1,0.3534,0.06,0,1,0,3
123,0.1379,0,0.11000000000000001,3.701439998334352e-11,0,0.05,1,0.36,0.8,0.2,0.2,0.07,0.3426,0.17,1,1,1,3
124,0.1166,0,0.2,1.0919538458514586e-12,0,0.03,1,0.25,0.8,0.198,0.5,0.04,0.2488,0.15,1,0,0,2
125,0.1659,0,0.27999999999999997,2.7772105259712485e-12,0,0.05,0,0.16,0.6,0.089,0.1,0.2,0.3255,0.09,0,0,1,3
126,0.0826,1,0.24,5.2108888865729385e-12,1,0.0,1,0.58,0.3,0.088,0.4,0.01,0.2863,0.18,1,0,1,2
127,0.1564,0,0.22999999999999998,1.0308062495704973e-10,0,0.04,1,0.25,0.5,0.189,0.6,0.17,0.1496,0.07,1,1,1,1
128,0.1957,0,0.09,0.057155999995237,1,0.11,0,0.31,0.6,0.181,0.3,0.16,0.3801,0.07,1,0,1,3
129,0.1571,0,0.13999999999999999,8.30644999847715e-12,0,0.0,1,0.19,0.1,0.1,0.6,0.01,0.0666,0.13,1,1,0,0
130,0.1414,0,0.2,1.825193276942818e-12,1,0.02,0,0.54,0.8,0.099,0.7,0.03,0.3799,0.07,1,0,1,3
131,0.179,0,0.25,0.0703748571328036,1,0.09,0,0.02,0.1,0.184,0.1,0.14,0.1366,0.2,1,1,1,1
132,0.0645,0,0.05,1.756111110769645e-12,0,0.01,0,0.41,1.0,0.197,0.7,0.1,0.2962,0.04,1,1,1,2
133,0.0668,0,0.29,1.1024639996692608e-11,1,0.07,0,0.3,0.2,0.195,0.8,0.12,0.2399,0.07,1,1,1,1
134,0.1652,1,0.11000000000000001,4.12116666580809e-12,1,0.01,0,0.36,0.7,0.089,0.4,0.05,0.2338,0.2,0,0,0,2
135,0.1213,1,0.05,7.834666663402222e-12,0,0.0,0,0.16,0.5,0.108,0.5,0.0,0.27,0.09,0,0,1,2
136,0.1272,1,0.25,5.3255921036514645e-12,1,0.0,0,0.22,0.9,0.133,0.6,0.08,0.2235,0.04,1,0,0,1
137,0.0866,0,0.05,8.838727271187192e-12,1,0.05,1,0.46,0.5,0.179,0.8,0.07,0.3825,0.02,1,1,1,3
138,0.0536,0,0.24,1.9750499996159627e-11,1,0.12,1,0.03,0.3,0.182,0.7,0.14,0.0284,0.04,1,1,0,0
139,0.0523,0,0.26,3.519644440533728e-11,1,0.01,0,0.14,0.1,0.155,0.8,0.02,0.1427,0.09,0,1,0,0
140,0.1753,0,0.05,0.18013764704822718,1,0.0,1,0.31,0.1,0.134,0.1,0.18,0.1324,0.17,1,0,1,2
141,0.1218,0,0.18,0.008297882352453066,1,0.01,1,0.14,0.5,0.147,0.3,0.04,0.0398,0.05,1,0,0,0
142,0.1537,1,0.25,3.101009803566878e-12,0,0.04,1,0.43,0.3,0.137,0.1,0.05,0.3685,0.17,1,1,1,3
143,0.0786,0,0.22000000000000003,6.518022726137011e-12,1,0.0,0,0.33,0.5,0.141,0.7,0.06,0.239,0.05,1,0,1,2
144,0.1678,0,0.21000000000000002,0.012299789473036851,0,0.03,1,0.64,0.9,0.134,0.3,0.11,0.0278,0.1,1,1,0,0
145,0.1814,0,0.13999999999999999,2.7509999996179168e-12,1,0.01,1,0.09,0.4,0.141,0.2,0.02,0.3556,0.16,1,0,0,3
146,0.1101,0,0.18,6.820874998294781e-12,0,0.0,0,0.31,0.2,0.148,0.2,0.07,0.2196,0.19,0,1,1,1
147,0.1461,0,0.24,1.026231248909629e-10,1,0.03,1,0.4,0.5,0.141,0.7,0.04,0.3799,0.04,1,0,0,3
148,0.1216,0,0.3,5.604436921524926e-11,0,0.04,0,0.47,0.4,0.199,0.3,0.07,0.2268,0.04,0,1,1,2
149,0.0506,0,0.16,6.899038460317862e-12,0,0.06,1,0.41,0.8,0.159,0.1,0.07,0.2965,0.15,1,0,0,2
150,0.0843,1,0.05,1.1199999987679999e-11,0,0.01,1,0.56,0.1,0.147,0.5,0.17,0.2341,0.2,1,1,1,1
151,0.0742,0,0.22000000000000003,4.455357953861962e-12,1,0.04,0,0.56,0.2,0.19,0.7,0.14,0.3557,0.12,0,1,1,3
152,0.1692,1,0.21000000000000002,1.737589285357459e-11,0,0.03,1,0.61,0.9,0.176,0.6,0.12,0.1354,0.19,1,0,0,1
153,0.1485,0,0.1,2.7191052602956785e-11,0,0.02,1,0.32,0.7,0.084,0.2,0.09,0.2147,0.11,1,1,0,2
154,0.1547,0,0.29,1.4332083324972949e-11,1,0.06,0,0.45,0.7,0.166,0.2,0.08,0.0505,0.03,0,1,1,0
155,0.1692,0,0.22999999999999998,8.109062498682277e-12,1,0.04,1,0.46,0.9,0.139,0.1,0.06,0.1394,0.06,1,1,0,1
156,0.0637,0,0.22999999999999998,3.10781249905039e-11,0,0.03,1,0.6,0.8,0.097,0.4,0.04,0.0374,0.08,1,0,1,0
157,0.1224,0,0.05,0.061702199993829775,0,0.16,1,0.06,0.4,0.109,0.6,0.18,0.0506,0.11,1,1,1,0
158,0.1356,0,0.27999999999999997,0.1880350588124685,0,0.0,0,0.29,0.5,0.198,0.6,0.0,0.3702,0.19,0,0,0,3
159,0.184,0,0.05,0.06006187499249226,1,0.12,0,0.34,0.7,0.142,0.1,0.16,0.1078,0.1,0,0,0,1
160,0.1481,1,0.06999999999999999,3.5565599989330323e-12,1,0.04,1,0.37,0.6,0.096,0.5,0.13,0.2945,0.16,1,1,1,2
161,0.0961,1,0.15,3.82259999910806e-12,1,0.1,0,0.51,0.3,0.152,0.6,0.16,0.2981,0.07,1,1,1,2
162,0.1296,0,0.09,1.4737028554586252e-10,1,0.0,1,0.14,0.5,0.124,0.5,0.03,0.049,0.04,1,1,1,0
163,0.1193,0,0.09,5.303235293426889e-12,0,0.11,0,0.26,0.5,0.166,0.1,0.2,0.0536,0.04,1,0,1,0
164,0.1441,0,0.21000000000000002,9.655734371982583e-12,1,0.11,1,0.03,0.1,0.118,0.8,0.17,0.2317,0.07,1,0,1,2
165,0.0517,0,0.13999999999999999,2.3633823526544425e-12,1,0.03,1,0.33,0.8,0.183,0.4,0.08,0.3704,0.11,1,0,1,3
166,0.0748,1,0.16999999999999998,4.316666665947223e-12,0,0.0,1,0.27,0.9,0.15,0.8,0.04,0.2126,0.07,1,0,0,1
167,0.1126,1,0.24,4.691078569976571e-11,0,0.02,1,0.1,0.4,0.16,0.6,0.03,0.205,0.12,1,1,1,2
168,0.1572,0,0.06,2.2376385412004923e-11,0,0.0,1,0.58,0.2,0.157,0.7,0.08,0.2462,0.1,1,0,0,3
169,0.1569,0,0.27999999999999997,4.854999997033056e-12,1,0.17,0,0.44,0.3,0.11,0.4,0.2,0.126,0.17,1,0,0,1
170,0.127,1,0.06,1.684366665768338e-11,1,0.02,1,0.32,0.5,0.101,0.7,0.06,0.377,0.13,1,1,0,3
171,0.1854,0,0.3,4.665617645617971e-12,0,0.02,1,0.08,0.1,0.101,0.5,0.05,0.1886,0.2,1,1,0,1
172,0.0625,1,0.12,5.940777771176914e-11,1,0.05,1,0.1,0.2,0.183,0.4,0.08,0.3323,0.07,1,1,1,2
173,0.1577,0,0.05,1.5922499996508226e-11,1,0.0,1,0.42,0.3,0.197,0.5,0.04,0.206,0.12,1,0,0,2
174,0.0534,0,0.05,2.4542031246420953e-12,1,0.0,1,0.16,1.0,0.189,0.5,0.01,0.3926,0.2,1,0,0,3
175,0.0946,0,0.16999999999999998,3.231428570320653e-11,1,0.08,1,0.25,0.8,0.143,0.6,0.15,0.2177,0.13,1,1,1,2
176,0.0685,0,0.05,2.5052142852221894e-12,0,0.02,0,0.29,0.8,0.093,0.7,0.1,0.0728,0.04,0,0,1,0
177,0.1949,0,0.13,8.509857141185563e-12,1,0.0,0,0.23,0.1,0.101,0.5,0.01,0.2478,0.2,1,0,0,3
178,0.0947,0,0.08,7.47249999891026e-12,1,0.0,1,0.22,0.1,0.197,0.2,0.13,0.2842,0.02,1,0,0,2
179,0.0801,1,0.22000000000000003,8.402205879758141e-12,1,0.02,0,0.63,0.4,0.165,0.7,0.04,0.1617,0.19,0,0,1,1
180,0.0703,1,0.27,2.3690816321454014e-12,0,0.12,1,0.3,0.3,0.113,0.1,0.2,0.1472,0.07,1,0,0,0
181,0.1165,1,0.24,2.0556315786678746e-12,0,0.11,0,0.41,0.2,0.178,0.6,0.12,0.0764,0.15,1,0,0,0
182,0.1082,0,0.08,1.9572099977165881e-10,0,0.0,0,0.38,0.1,0.198,0.8,0.05,0.2337,0.17,0,1,1,2
183,0.0959,1,0.26,5.718693743923888e-11,1,0.15,0,0.2,1.0,0.084,0.4,0.19,0.3965,0.06,1,0,0,3
184,0.1502,1,0.12,1.605882352732007e-13,0,0.0,0,0.54,0.2,0.138,0.5,0.12,0.3693,0.16,1,1,0,3
185,0.138,1,0.21000000000000002,8.076923072263313e-12,1,0.01,1,0.04,0.8,0.092,0.3,0.13,0.0797,0.15,1,1,0,0
186,0.1266,0,0.05,0.21070636361720854,0,0.0,1,0.05,0.1,0.095,0.6,0.09,0.1687,0.18,1,0,0,2
187,0.1934,1,0.26,6.872487178194918e-12,1,0.0,1,0.46,0.1,0.103,0.1,0.17,0.294,0.02,1,1,1,3
188,0.1905,1,0.05,1.6942266661395738e-11,0,0.03,1,0.06,0.5,0.151,0.1,0.05,0.1545,0.1,1,1,0,1
189,0.1831,0,0.13999999999999999,7.090680670838854e-12,1,0.02,0,0.43,0.9,0.15,0.5,0.05,0.3834,0.13,1,1,1,3
190,0.0596,0,0.13999999999999999,1.5629199995050754e-11,0,0.08,0,0.46,0.6,0.165,0.1,0.18,0.2505,0.15,1,1,0,1
191,0.1562,1,0.13,8.201549998496382e-12,1,0.01,1,0.07,0.2,0.19,0.5,0.15,0.2243,0.06,1,0,0,2
192,0.149,1,0.05,1.3558745095735115e-11,1,0.04,1,0.64,0.3,0.15,0.8,0.08,0.36,0.07,1,1,1,3
193,0.1523,1,0.24,6.163564813958763e-13,0,0.05,1,0.57,0.2,0.117,0.2,0.06,0.3971,0.1,1,1,1,3
194,0.064,0,0.06,2.3916857134657076e-11,0,0.0,0,0.2,0.1,0.163,0.4,0.15,0.2844,0.18,1,1,0,2
195,0.1526,0,0.21000000000000002,2.9956555550895644e-12,0,0.01,1,0.23,0.2,0.117,0.7,0.08,0.2227,0.03,1,1,0,2
