,battery_power,blue,clock_speed,screen_size,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,talk_time,three_g,touch_screen,wifi,price_range
68,0.1242,0,0.11000000000000001,0.011,1,0.0,0,0.1,0.6,0.165,0.2,0.01,0.0459,0.1225,0.105,0.04,1,0,1,0
69,0.1166,0,0.15,0.007,1,0.0,1,0.43,0.8,0.08,0.4,0.01,0.0205,0.0603,0.3993,0.07,1,1,0,3
70,0.1448,1,0.05,0.143,1,0.06,1,0.45,0.8,0.138,0.7,0.11,0.057,0.1724,0.3378,0.02,1,1,1,3
71,0.1407,1,0.24,0.063,0,0.01,1,0.22,0.7,0.104,0.4,0.04,0.1172,0.1217,0.2192,0.13,1,0,1,2
72,0.0605,0,0.1,0.09,0,0.08,1,0.09,0.1,0.142,0.3,0.16,0.016,0.1026,0.0392,0.04,1,0,0,0
73,0.1038,0,0.12,0.0,0,0.03,0,0.43,0.7,0.141,0.1,0.05,0.0004,0.0638,0.3709,0.12,1,1,1,3
74,0.0797,1,0.29,0.018,1,0.04,0,0.38,0.5,0.09,0.4,0.06,0.0763,0.1413,0.059,0.06,0,1,0,0
75,0.0819,0,0.06,0.02,1,0.08,1,0.42,0.9,0.188,0.6,0.2,0.0339,0.1242,0.1814,0.13,1,0,1,1
76,0.1114,0,0.27999999999999997,0.07,0,0.04,1,0.09,0.4,0.197,0.3,0.15,0.104,0.1071,0.0907,0.17,1,1,0,0
77,0.1234,1,0.16,0.077,1,0.01,0,0.33,0.6,0.172,0.1,0.03,0.0166,0.0778,0.1449,0.06,0,0,1,0
78,0.1199,1,0.25,0.221,1,0.15,1,0.16,0.2,0.116,0.4,0.2,0.1168,0.1552,0.3448,0.1,1,0,1,3
79,0.1103,0,0.1,0.056,1,0.06,0,0.29,0.7,0.111,0.6,0.08,0.099,0.1486,0.1837,0.16,0,1,1,1
80,0.1589,1,0.06,0.19,1,0.0,1,0.58,0.9,0.085,0.7,0.07,0.0319,0.1206,0.3464,0.06,1,1,1,3
81,0.0999,0,0.29,0.154,1,0.11,1,0.64,0.2,0.199,0.4,0.19,0.1397,0.1616,0.2593,0.16,1,1,0,2
82,0.151,1,0.09,0.054,1,0.02,0,0.45,0.9,0.18,0.5,0.03,0.0708,0.1752,0.3484,0.11,0,1,1,3
83,0.1008,0,0.08,0.03,0,0.11,0,0.61,1.0,0.114,0.3,0.15,0.1077,0.1122,0.2009,0.11,1,0,0,1
84,0.1127,1,0.29,0.055,1,0.05,1,0.57,0.8,0.163,0.1,0.13,0.0928,0.1049,0.2048,0.17,1,1,1,1
85,0.1412,1,0.24,0.135,0,0.05,0,0.25,0.8,0.096,0.8,0.17,0.0516,0.1894,0.0837,0.04,0,0,1,1
86,0.1496,1,0.2,0.0,1,0.04,0,0.42,0.5,0.182,0.5,0.05,0.0096,0.0741,0.0854,0.07,0,1,1,0
87,0.1083,1,0.29,0.039,1,0.01,1,0.64,0.8,0.178,0.3,0.11,0.1025,0.1118,0.321,0.04,1,0,0,3
88,0.0668,0,0.05,0.045,1,0.0,0,0.03,0.1,0.155,0.5,0.13,0.0666,0.1203,0.2746,0.08,1,1,1,2
89,0.1309,0,0.11000000000000001,0.01,1,0.0,0,0.33,0.5,0.1,0.4,0.14,0.0557,0.1402,0.2334,0.11,1,0,1,2
90,0.1724,0,0.2,0.057,1,0.02,1,0.57,0.5,0.177,0.3,0.05,0.1605,0.1924,0.2822,0.16,1,1,0,3
91,0.1977,1,0.2,0.126,1,0.07,1,0.54,1.0,0.171,0.7,0.18,0.1226,0.1242,0.1971,0.14,1,1,0,2
92,0.0885,0,0.22999999999999998,0.16,1,0.0,1,0.15,0.4,0.103,0.7,0.0,0.0769,0.0802,0.141,0.05,1,1,1,0
93,0.0879,1,0.25,0.16,0,0.11,1,0.14,0.7,0.083,0.6,0.15,0.0403,0.1105,0.0349,0.02,1,0,1,0
94,0.1322,0,0.16999999999999998,0.323,1,0.06,0,0.07,0.8,0.14,0.3,0.09,0.0177,0.199,0.1418,0.12,0,1,0,1
95,0.1137,1,0.1,0.065,0,0.18,0,0.07,1.0,0.196,0.3,0.19,0.0942,0.1179,0.3616,0.12,1,1,1,3
96,0.1355,0,0.22999999999999998,0.076,0,0.1,1,0.23,0.2,0.132,0.5,0.16,0.0651,0.0891,0.088,0.08,1,1,0,0
97,0.1665,1,0.05,0.306,0,0.03,1,0.6,0.2,0.194,0.6,0.18,0.1572,0.1684,0.1601,0.14,1,0,0,2
98,0.0657,0,0.25,0.042,0,0.0,0,0.37,0.7,0.141,0.2,0.01,0.0476,0.0961,0.1412,0.18,0,1,0,0
99,0.0593,0,0.05,0.012,0,0.06,0,0.31,0.4,0.156,0.7,0.07,0.1233,0.1317,0.1692,0.07,1,0,0,1
100,0.1883,1,0.05,0.128,0,0.03,1,0.1,0.3,0.146,0.6,0.13,0.0836,0.1739,0.26,0.2,1,0,0,3
101,0.1732,1,0.11000000000000001,0.112,0,0.04,1,0.12,0.8,0.119,0.8,0.09,0.0824,0.0881,0.1308,0.11,1,0,1,1
102,0.0543,0,0.05,0.238,0,0.0,0,0.57,0.7,0.192,0.5,0.04,0.0391,0.0984,0.2413,0.15,1,0,0,1
103,0.1939,1,0.27999999999999997,0.14,1,0.0,1,0.55,0.6,0.199,0.4,0.1,0.032,0.052,0.1047,0.18,1,1,0,0
104,0.0553,0,0.24,0.044,1,0.01,1,0.08,0.5,0.121,0.7,0.03,0.0325,0.0902,0.1204,0.08,1,1,1,0
105,0.0832,0,0.06999999999999999,0.01,1,0.02,1,0.39,0.7,0.103,0.4,0.03,0.0125,0.1504,0.1799,0.11,1,0,1,1
106,0.1661,0,0.19,0.072,1,0.05,0,0.23,1.0,0.172,0.5,0.1,0.0846,0.1634,0.2676,0.11,0,1,1,3
107,0.1657,1,0.24,0.018,0,0.03,0,0.42,0.1,0.198,0.5,0.16,0.177,0.1796,0.2597,0.14,1,0,0,3
108,0.1135,1,0.2,0.323,1,0.0,0,0.46,0.3,0.083,0.1,0.04,0.0293,0.1846,0.3029,0.09,1,1,1,3
109,0.1775,1,0.15,0.247,0,0.03,0,0.41,0.1,0.163,0.1,0.07,0.1633,0.1869,0.2343,0.14,1,1,1,3
110,0.0783,0,0.18,0.064,1,0.0,1,0.43,1.0,0.106,0.3,0.04,0.1198,0.1471,0.2016,0.18,1,1,0,1
111,0.0617,1,0.22999999999999998,0.234,0,0.0,0,0.32,0.5,0.199,0.7,0.2,0.0768,0.0874,0.2213,0.07,0,0,0,1
112,0.0867,0,0.13999999999999999,0.078,1,0.0,1,0.04,0.7,0.135,0.6,0.01,0.007,0.1974,0.079,0.03,1,1,0,0
113,0.131,1,0.11000000000000001,0.032,1,0.13,0,0.07,1.0,0.194,0.5,0.14,0.0117,0.0513,0.3182,0.05,1,1,0,2
114,0.1804,0,0.05,0.009,0,0.09,1,0.22,0.6,0.153,0.7,0.19,0.1158,0.1244,0.3472,0.2,1,0,1,3
115,0.19,1,0.22999999999999998,0.012,0,0.01,1,0.18,0.2,0.089,0.7,0.09,0.1055,0.1661,0.2871,0.13,1,1,1,3
116,0.0909,1,0.13999999999999999,0.108,0,0.0,0,0.53,0.3,0.082,0.8,0.0,0.0635,0.0973,0.3187,0.04,1,0,0,2
117,0.1084,1,0.26,0.06,0,0.03,1,0.4,0.9,0.107,0.3,0.11,0.0322,0.0771,0.1945,0.1,1,1,0,1
118,0.1308,0,0.13,0.015,1,0.08,0,0.46,0.9,0.199,0.1,0.12,0.0275,0.0989,0.0488,0.09,0,1,0,0
119,0.1778,0,0.05,0.0,0,0.0,0,0.15,0.5,0.102,0.3,0.0,0.1445,0.1954,0.1214,0.14,1,0,0,1
120,0.1701,1,0.16,0.108,1,0.03,0,0.1,0.3,0.194,0.8,0.07,0.055,0.1338,0.2598,0.06,0,1,0,2
121,0.0772,1,0.24,0.198,1,0.01,1,0.1,0.5,0.08,0.4,0.02,0.1242,0.1712,0.3242,0.04,1,1,0,3
122,0.0825,1,0.05,0.04,1,0.07,0,0.52,0.9,0.13,0.3,0.1,0.0597,0.0863,0.3534,0.06,0,1,0,3
123,0.1379,0,0.11000000000000001,0.02,0,0.05,1,0.36,0.8,0.2,0.2,0.07,0.0538,0.1376,0.3426,0.17,1,1,1,3
124,0.1166,0,0.2,0.065,0,0.03,1,0.25,0.8,0.198,0.5,0.04,0.0059,0.1203,0.2488,0.15,1,0,0,2
125,0.1659,0,0.27999999999999997,0.266,0,0.05,0,0.16,0.6,0.089,0.1,0.2,0.0819,0.0902,0.3255,0.09,0,0,1,3
126,0.0826,1,0.24,0.027,1,0.0,1,0.58,0.3,0.088,0.4,0.01,0.0179,0.0786,0.2863,0.18,1,0,1,2
127,0.1564,0,0.22999999999999998,0.024,0,0.04,1,0.25,0.5,0.189,0.6,0.17,0.1259,0.1965,0.1496,0.07,1,1,1,1
128,0.1957,0,0.09,0.0,1,0.11,0,0.31,0.6,0.181,0.3,0.16,0.0396,0.1732,0.3801,0.07,1,0,1,3
129,0.1571,0,0.13999999999999999,0.12,0,0.0,1,0.19,0.1,0.1,0.6,0.01,0.0713,0.1398,0.0666,0.13,1,1,0,0
130,0.1414,0,0.2,0.119,1,0.02,0,0.54,0.8,0.099,0.7,0.03,0.0262,0.0829,0.3799,0.07,1,0,1,3
131,0.179,0,0.25,0.0,1,0.09,0,0.02,0.1,0.184,0.1,0.14,0.0622,0.0792,0.1366,0.2,1,1,1,1
132,0.0645,0,0.05,0.108,0,0.01,0,0.41,1.0,0.197,0.7,0.1,0.0327,0.058,0.2962,0.04,1,1,1,2
133,0.0668,0,0.29,0.05,1,0.07,0,0.3,0.2,0.195,0.8,0.12,0.0522,0.1056,0.2399,0.07,1,1,1,1
134,0.1652,1,0.11000000000000001,0.096,1,0.01,0,0.36,0.7,0.089,0.4,0.05,0.0313,0.1264,0.2338,0.2,0,0,0,2
135,0.1213,1,0.05,0.036,0,0.0,0,0.16,0.5,0.108,0.5,0.0,0.0226,0.1248,0.27,0.09,0,0,1,2
136,0.1272,1,0.25,0.076,1,0.0,0,0.22,0.9,0.133,0.6,0.08,0.0605,0.0669,0.2235,0.04,1,0,0,1
137,0.0866,0,0.05,0.132,1,0.05,1,0.46,0.5,0.179,0.8,0.07,0.0692,0.1686,0.3825,0.02,1,1,1,3
138,0.0536,0,0.24,0.108,1,0.12,1,0.03,0.3,0.182,0.7,0.14,0.1386,0.1539,0.0284,0.04,1,1,0,0
139,0.0523,0,0.26,0.009,1,0.01,0,0.14,0.1,0.155,0.8,0.02,0.0304,0.1042,0.1427,0.09,0,1,0,0
140,0.1753,0,0.05,0.0,1,0.0,1,0.31,0.1,0.134,0.1,0.18,0.159,0.1926,0.1324,0.17,1,0,1,2
141,0.1218,0,0.18,0.0,1,0.01,1,0.14,0.5,0.147,0.3,0.04,0.0229,0.0616,0.0398,0.05,1,0,0,0
142,0.1537,1,0.25,0.306,0,0.04,1,0.43,0.3,0.137,0.1,0.05,0.0839,0.1131,0.3685,0.17,1,1,1,3
143,0.0786,0,0.22000000000000003,0.132,1,0.0,0,0.33,0.5,0.141,0.7,0.06,0.0507,0.1697,0.239,0.05,1,0,1,2
144,0.1678,0,0.21000000000000002,0.0,0,0.03,1,0.64,0.9,0.134,0.3,0.11,0.0436,0.0536,0.0278,0.1,1,1,0,0
145,0.1814,0,0.13999999999999999,0.216,1,0.01,1,0.09,0.4,0.141,0.2,0.02,0.0756,0.0786,0.3556,0.16,1,0,0,3
146,0.1101,0,0.18,0.072,0,0.0,0,0.31,0.2,0.148,0.2,0.07,0.0387,0.1269,0.2196,0.19,0,1,1,1
147,0.1461,0,0.24,0.016,1,0.03,1,0.4,0.5,0.141,0.7,0.04,0.1265,0.1298,0.3799,0.04,1,0,0,3
148,0.1216,0,0.3,0.065,0,0.04,0,0.47,0.4,0.199,0.3,0.07,0.1852,0.1967,0.2268,0.04,0,1,1,2
149,0.0506,0,0.16,0.13,0,0.06,1,0.41,0.8,0.159,0.1,0.07,0.0875,0.1025,0.2965,0.15,1,0,0,2
150,0.0843,1,0.05,0.01,0,0.01,1,0.56,0.1,0.147,0.5,0.17,0.014,0.08,0.2341,0.2,1,1,1,1
151,0.0742,0,0.22000000000000003,0.176,1,0.04,0,0.56,0.2,0.19,0.7,0.14,0.0577,0.1359,0.3557,0.12,0,1,1,3
152,0.1692,1,0.21000000000000002,0.112,0,0.03,1,0.61,0.9,0.176,0.6,0.12,0.0975,0.1996,0.1354,0.19,1,0,0,1
153,0.1485,0,0.1,0.019,0,0.02,1,0.32,0.7,0.084,0.2,0.09,0.051,0.1013,0.2147,0.11,1,1,0,2
154,0.1547,0,0.29,0.024,1,0.06,0,0.45,0.7,0.166,0.2,0.08,0.0583,0.059,0.0505,0.03,0,1,1,0
155,0.1692,0,0.22999999999999998,0.16,1,0.04,1,0.46,0.9,0.139,0.1,0.06,0.0674,0.1925,0.1394,0.06,1,1,0,1
156,0.0637,0,0.22999999999999998,0.072,0,0.03,1,0.6,0.8,0.097,0.4,0.04,0.1125,0.1989,0.0374,0.08,1,0,1,0
157,0.1224,0,0.05,0.0,0,0.16,1,0.06,0.4,0.109,0.6,0.18,0.0747,0.0826,0.0506,0.11,1,1,1,0
158,0.1356,0,0.27999999999999997,0.0,0,0.0,0,0.29,0.5,0.198,0.6,0.0,0.1612,0.1983,0.3702,0.19,0,0,0,3
159,0.184,0,0.05,0.0,1,0.12,0,0.34,0.7,0.142,0.1,0.16,0.0311,0.1545,0.1078,0.1,0,0,0,1
160,0.1481,1,0.06999999999999999,0.05,1,0.04,1,0.37,0.6,0.096,0.5,0.13,0.0116,0.1533,0.2945,0.16,1,1,1,2
161,0.0961,1,0.15,0.09,1,0.1,0,0.51,0.3,0.152,0.6,0.16,0.0554,0.0621,0.2981,0.07,1,1,1,2
162,0.1296,0,0.09,0.007,1,0.0,1,0.14,0.5,0.124,0.5,0.03,0.0811,0.1272,0.049,0.04,1,1,1,0
163,0.1193,0,0.09,0.238,0,0.11,0,0.26,0.5,0.166,0.1,0.2,0.073,0.1729,0.0536,0.04,1,0,1,0
164,0.1441,0,0.21000000000000002,0.064,1,0.11,1,0.03,0.1,0.118,0.8,0.17,0.0577,0.1071,0.2317,0.07,1,0,1,2
165,0.0517,0,0.13999999999999999,0.272,1,0.03,1,0.33,0.8,0.183,0.4,0.08,0.066,0.0974,0.3704,0.11,1,0,1,3
166,0.0748,1,0.16999999999999998,0.162,0,0.0,1,0.27,0.9,0.15,0.8,0.04,0.045,0.1554,0.2126,0.07,1,0,0,1
167,0.1126,1,0.24,0.042,0,0.02,1,0.1,0.4,0.16,0.6,0.03,0.1223,0.1611,0.205,0.12,1,1,1,2
168,0.1572,0,0.06,0.096,0,0.0,1,0.58,0.2,0.157,0.7,0.08,0.1109,0.1937,0.2462,0.1,1,0,0,3
169,0.1569,0,0.27999999999999997,0.018,1,0.17,0,0.44,0.3,0.11,0.4,0.2,0.0045,0.1942,0.126,0.17,1,0,0,1
170,0.127,1,0.06,0.015,1,0.02,1,0.32,0.5,0.101,0.7,0.06,0.0299,0.0845,0.377,0.13,1,1,0,3
171,0.1854,0,0.3,0.068,0,0.02,1,0.08,0.1,0.101,0.5,0.05,0.0506,0.0627,0.1886,0.2,1,1,0,1
172,0.0625,1,0.12,0.009,1,0.05,1,0.1,0.2,0.183,0.4,0.08,0.0635,0.0842,0.3323,0.07,1,1,1,2
173,0.1577,0,0.05,0.114,1,0.0,1,0.42,0.3,0.197,0.5,0.04,0.1045,0.1737,0.206,0.12,1,0,0,2
174,0.0534,0,0.05,0.192,1,0.0,1,0.16,1.0,0.189,0.5,0.01,0.0393,0.1199,0.3926,0.2,1,0,0,3
175,0.0946,0,0.16999999999999998,0.035,1,0.08,1,0.25,0.8,0.143,0.6,0.15,0.065,0.174,0.2177,0.13,1,1,1,2
176,0.0685,0,0.05,0.112,0,0.02,0,0.29,0.8,0.093,0.7,0.1,0.0433,0.0648,0.0728,0.04,0,0,1,0
177,0.1949,0,0.13,0.112,1,0.0,0,0.23,0.1,0.101,0.5,0.01,0.0839,0.1136,0.2478,0.2,1,0,0,3
178,0.0947,0,0.08,0.192,1,0.0,1,0.22,0.1,0.197,0.2,0.13,0.1176,0.122,0.2842,0.02,1,0,0,2
179,0.0801,1,0.22000000000000003,0.068,1,0.02,0,0.63,0.4,0.165,0.7,0.04,0.065,0.0879,0.1617,0.19,0,0,1,1
180,0.0703,1,0.27,0.098,0,0.12,1,0.3,0.3,0.113,0.1,0.2,0.0218,0.1065,0.1472,0.07,1,0,0,0
181,0.1165,1,0.24,0.228,0,0.11,0,0.41,0.2,0.178,0.6,0.12,0.0564,0.0831,0.0764,0.15,1,0,0,0
182,0.1082,0,0.08,0.006,0,0.0,0,0.38,0.1,0.198,0.8,0.05,0.0986,0.1191,0.2337,0.17,0,1,1,2
183,0.0959,1,0.26,0.016,1,0.15,0,0.2,1.0,0.084,0.4,0.19,0.0561,0.1631,0.3965,0.06,1,0,0,3
184,0.1502,1,0.12,0.238,0,0.0,0,0.54,0.2,0.138,0.5,0.12,0.0065,0.0588,0.3693,0.16,1,1,0,3
185,0.138,1,0.21000000000000002,0.026,1,0.01,1,0.04,0.8,0.092,0.3,0.13,0.042,0.05,0.0797,0.15,1,1,0,0
186,0.1266,0,0.05,0.0,0,0.0,1,0.05,0.1,0.095,0.6,0.09,0.1365,0.1698,0.1687,0.18,1,0,0,2
187,0.1934,1,0.26,0.117,1,0.0,1,0.46,0.1,0.103,0.1,0.17,0.0619,0.1299,0.294,0.02,1,1,1,3
188,0.1905,1,0.05,0.045,0,0.03,1,0.06,0.5,0.151,0.1,0.05,0.0849,0.0898,0.1545,0.1,1,1,0,1
